iter	Passed	Remaining
610	26126	8081
611	26163	8037
612	26198	7992
613	26223	7943
614	26247	7895
615	26275	7848
616	26304	7801
617	26333	7755
618	26369	7710
619	26412	7668
620	26451	7624
621	26478	7577
622	26503	7529
623	26530	7482
624	26557	7436
625	26582	7388
626	26610	7342
627	26636	7295
628	26660	7247
629	26684	7200
630	26708	7153
631	26732	7105
632	26762	7060
633	26800	7017
634	26828	6971
635	26853	6924
636	26879	6878
637	26915	6834
638	26953	6790
639	26984	6746
640	27009	6699
641	27035	6653
642	27072	6610
643	27102	6565
644	27132	6520
645	27174	6478
646	27217	6436
647	27255	6393
648	27281	6347
649	27307	6301
650	27333	6256
651	27368	6212
652	27397	6167
653	27426	6122
654	27462	6079
655	27501	6037
656	27540	5994
657	27567	5949
658	27601	5905
659	27637	5862
660	27660	5816
661	27683	5770
662	27707	5725
663	27731	5679
664	27756	5634
665	27796	5592
666	27834	5550
667	27865	5506
668	27906	5464
669	27940	5421
670	27980	5379
671	28026	5338
672	28063	5295
673	28086	5250
674	28115	5206
675	28140	5161
676	28180	5119
677	28207	5075
678	28240	5032
679	28282	4991
680	28322	4949
681	28362	4907
682	28391	4863
683	28419	4819
684	28456	4777
685	28485	4733
686	28508	4689
687	28535	4645
688	28570	4602
689	28609	4560
690	28649	4519
691	28690	4477
692	28748	4438
693	28809	4400
694	28882	4363
695	28947	4325
696	28999	4285
697	29051	4245
698	29101	4204
699	29164	4166
700	29220	4126
701	29273	4086
702	29329	4046
703	29385	4007
704	29438	3966
705	29493	3926
706	29553	3887
707	29608	3847
708	29658	3806
709	29724	3767
710	29784	3728
711	29849	3689
712	29903	3648
713	29964	3609
714	30019	3568
715	30069	3527
716	30126	3487
717	30190	3447
718	30241	3406
719	30303	3367
720	30368	3327
721	30432	3287
722	30497	3248
723	30554	3207
724	30600	3165
725	30661	3125
726	30721	3084
727	30780	3044
728	30843	3003
729	30902	2963
730	30955	2921
731	31014	2881
732	31076	2840
733	31127	2798
734	31183	2757
735	31238	2716
736	31297	2675
737	31357	2634
738	31416	2593
739	31477	2552
740	31538	2511
741	31592	2469
742	31650	2428
743	31709	2386
744	31771	2345
745	31834	2304
746	31901	2263
747	31956	2221
748	32014	2179
749	32069	2137
750	32132	2096
751	32189	2054
752	32247	2012
753	32308	1971
754	32361	1928
755	32412	1886
756	32474	1844
757	32535	1802
758	32590	1760
759	32648	1718
760	32716	1676
761	32779	1634
762	32836	1592
763	32888	1549
764	32949	1507
765	33006	1465
766	33062	1422
767	33123	1380
768	33188	1337
769	33248	1295
770	33305	1252
771	33369	1210
772	33427	1167
773	33487	1124
774	33547	1082
775	33606	1039
776	33668	996
777	33727	953
778	33786	910
779	33847	867
780	33910	824
781	33965	781
782	34036	738
783	34093	695
784	34160	652
785	34226	609
786	34280	566
787	34336	522
788	34385	479
789	34440	435
790	34491	392
791	34549	348
792	34606	305
793	34673	262
794	34732	218
795	34789	174
796	34849	131
797	34907	87
798	34969	43
799	35025	0
